,Номенклатура,Цена,Количество,Сумма,total чека,Дата покупки,retailPlace,retailPlaceAddress,organization-name,organization-inn,seller-name,seller-inn,Полный чек (http://jsonviewer.stack.hu/),qr-code (single),qr-code,added_user_id,id категории
,Напиток Любимый Абрикосовая груша 0.95 т/п,59,1,59,431,2021-09-30 20:02,Супермаркет ТЦ,"г. Новосибирск, ул. Ильича, д.6","ООО ""ТЦ""",5407973235,"ООО ""ТЦ""",5407973235,,,t=20210930T200200&s=431.00&fn=9288000100190797&i=41359&fp=1783026951&n=1,,
,Молоко БЗМЖ Томское молоко 3.2% 1.0 т/п,83,1,83,431,2021-09-30 20:02,Супермаркет ТЦ,"г. Новосибирск, ул. Ильича, д.6","ООО ""ТЦ""",5407973235,"ООО ""ТЦ""",5407973235,,,t=20210930T200200&s=431.00&fn=9288000100190797&i=41359&fp=1783026951&n=1,,
,Биойогурт БЗМЖ Томское молоко Вишня.черешня 2.5% 180г пл/ст,38,1,38,431,2021-09-30 20:02,Супермаркет ТЦ,"г. Новосибирск, ул. Ильича, д.6","ООО ""ТЦ""",5407973235,"ООО ""ТЦ""",5407973235,,,t=20210930T200200&s=431.00&fn=9288000100190797&i=41359&fp=1783026951&n=1,,
,Биойогурт БЗМЖ Томское молоко Клубника 2.5% 180г пл/ст,38,1,38,431,2021-09-30 20:02,Супермаркет ТЦ,"г. Новосибирск, ул. Ильича, д.6","ООО ""ТЦ""",5407973235,"ООО ""ТЦ""",5407973235,,,t=20210930T200200&s=431.00&fn=9288000100190797&i=41359&fp=1783026951&n=1,,
,Биойогурт БЗМЖ Томское молоко Вишня.черешня 2.5% 180г пл/ст,38,1,38,431,2021-09-30 20:02,Супермаркет ТЦ,"г. Новосибирск, ул. Ильича, д.6","ООО ""ТЦ""",5407973235,"ООО ""ТЦ""",5407973235,,,t=20210930T200200&s=431.00&fn=9288000100190797&i=41359&fp=1783026951&n=1,,
,Кукуруза Bonduelle Сладкая 170г/212мл ж/б,59,1,59,431,2021-09-30 20:02,Супермаркет ТЦ,"г. Новосибирск, ул. Ильича, д.6","ООО ""ТЦ""",5407973235,"ООО ""ТЦ""",5407973235,,,t=20210930T200200&s=431.00&fn=9288000100190797&i=41359&fp=1783026951&n=1,,
,Кукуруза Bonduelle Сладкая 170г/212мл ж/б,59,1,59,431,2021-09-30 20:02,Супермаркет ТЦ,"г. Новосибирск, ул. Ильича, д.6","ООО ""ТЦ""",5407973235,"ООО ""ТЦ""",5407973235,,,t=20210930T200200&s=431.00&fn=9288000100190797&i=41359&fp=1783026951&n=1,,
,Шоколад Alpen Gold Oreo Чизкейк 95г,78,1,78,78,2021-09-30 19:56,Супермаркет ТЦ,"г. Новосибирск, ул. Ильича, д.6","ООО ""ТЦ""",5407973235,"ООО ""ТЦ""",5407973235,"{'status': 2, 'id': '6159753f9e4beb51961413c8', 'kind': 'kkt', 'createdAt': '2021-10-03T12:17:51+03:00', 'statusDescription': {}, 'qr': 't=20210930T1956&s=78.00&fn=9288000100190797&i=41353&fp=3233973156&n=1', 'operation': {'date': '2021-09-30T19:56', 'type': 1, 'sum': 7800}, 'process': [{'time': '2021-10-03T09:17:51+00:00', 'result': 21}], 'query': {'operationType': 1, 'sum': 7800, 'documentId': 41353, 'fsId': '9288000100190797', 'fiscalSign': '3233973156', 'date': '2021-09-30T19:56'}, 'ticket': {'document': {'receipt': {'dateTime': 1633020960, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 7800, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 41353, 'fiscalDriveNumber': '9288000100190797', 'fiscalSign': 3233973156, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'Шоколад Alpen Gold Oreo Чизкейк 95г', 'nds': 1, 'ndsSum': 1300, 'paymentType': 4, 'price': 7800, 'productType': 1, 'quantity': 1, 'sum': 7800}], 'kktRegId': '0004835818031964    ', 'nds18': 1300, 'operationType': 1, 'operator': 'кассир Забашта Анастасия', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 149, 'retailPlace': 'Супермаркет ТЦ', 'retailPlaceAddress': 'г. Новосибирск, ул. Ильича, д.6', 'shiftNumber': 314, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 7800, 'user': 'ООО ""ТЦ""', 'userInn': '5407973235  '}}}, 'organization': {'name': 'ООО ""ТЦ""', 'inn': '5407973235'}, 'seller': {'name': 'ООО ""ТЦ""', 'inn': '5407973235'}}",t=20210930T195600&s=78.00&fn=9288000100190797&i=41353&fp=3233973156&n=1,t=20210930T195600&s=78.00&fn=9288000100190797&i=41353&fp=3233973156&n=1,,
,Соус Майонезный Чудесница Классический 180мл/180г пак.доз.,38,1,38,172,2021-09-30 19:56,Супермаркет ТЦ,"г. Новосибирск, ул. Ильича, д.6",ИП Геря А.В.,540823911368,ИП Геря А.В.,540823911368,"{'status': 2, 'id': '615975649a3b7a373a5a1c7e', 'kind': 'kkt', 'createdAt': '2021-10-03T12:18:28+03:00', 'statusDescription': {}, 'qr': 't=20210930T1956&s=172.00&fn=9288000100162763&i=18090&fp=3687024615&n=1', 'operation': {'date': '2021-09-30T19:56', 'type': 1, 'sum': 17200}, 'process': [{'time': '2021-10-03T09:18:28+00:00', 'result': 21}], 'query': {'operationType': 1, 'sum': 17200, 'documentId': 18090, 'fsId': '9288000100162763', 'fiscalSign': '3687024615', 'date': '2021-09-30T19:56'}, 'ticket': {'document': {'receipt': {'dateTime': 1633020960, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 17200, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 18090, 'fiscalDriveNumber': '9288000100162763', 'fiscalSign': 3687024615, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'Соус Майонезный Чудесница Классический 180мл/180г пак.доз.', 'paymentType': 4, 'price': 3800, 'productType': 1, 'quantity': 1, 'sum': 3800}, {'name': 'Заправка корейская Чим-Чим д/фунчозы 60г', 'paymentType': 4, 'price': 5400, 'productType': 1, 'quantity': 1, 'sum': 5400}, {'name': 'Соус Calve Американский бургер 230г пак.доз', 'paymentType': 4, 'price': 8000, 'productType': 1, 'quantity': 1, 'sum': 8000}], 'kktRegId': '0004835824062313    ', 'ndsNo': 17200, 'operationType': 1, 'operator': 'кассир Забашта Анастасия', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 60, 'retailPlace': 'Супермаркет ТЦ', 'retailPlaceAddress': 'г. Новосибирск, ул. Ильича, д.6', 'shiftNumber': 313, 'taxationType': 32, 'appliedTaxationType': 32, 'totalSum': 17200, 'user': 'ИП Геря А.В.', 'userInn': '540823911368'}}}, 'organization': {'name': 'ИП Геря А.В.', 'inn': '540823911368'}, 'seller': {'name': 'ИП Геря А.В.', 'inn': '540823911368'}}",t=20210930T195600&s=172.00&fn=9288000100162763&i=18090&fp=3687024615&n=1,t=20210930T195600&s=172.00&fn=9288000100162763&i=18090&fp=3687024615&n=1,,
,Заправка корейская Чим-Чим д/фунчозы 60г,54,1,54,172,2021-09-30 19:56,Супермаркет ТЦ,"г. Новосибирск, ул. Ильича, д.6",ИП Геря А.В.,540823911368,ИП Геря А.В.,540823911368,,,t=20210930T195600&s=172.00&fn=9288000100162763&i=18090&fp=3687024615&n=1,,
,Соус Calve Американский бургер 230г пак.доз,80,1,80,172,2021-09-30 19:56,Супермаркет ТЦ,"г. Новосибирск, ул. Ильича, д.6",ИП Геря А.В.,540823911368,ИП Геря А.В.,540823911368,,,t=20210930T195600&s=172.00&fn=9288000100162763&i=18090&fp=3687024615&n=1,,
,Напиток Black Monster The Doctor энергетич.0.449 ж/б,98,1,98,"204,3",2021-09-30 18:19,Супермаркет ТЦ,"г. Новосибирск, ул. Ильича, д.6","ООО ""ТЦ""",5407973235,"ООО ""ТЦ""",5407973235,"{'status': 2, 'id': '615975a69a3b7a373a5a1c8e', 'kind': 'kkt', 'createdAt': '2021-10-03T12:19:42+03:00', 'statusDescription': {}, 'qr': 't=20210930T1819&s=204.30&fn=9288000100190797&i=41316&fp=4033425107&n=1', 'operation': {'date': '2021-09-30T18:19', 'type': 1, 'sum': 20430}, 'process': [{'time': '2021-10-03T09:19:36+00:00', 'result': 30}, {'time': '2021-10-03T09:19:42+00:00', 'result': 21}], 'query': {'operationType': 1, 'sum': 20430, 'documentId': 41316, 'fsId': '9288000100190797', 'fiscalSign': '4033425107', 'date': '2021-09-30T18:19'}, 'ticket': {'document': {'receipt': {'dateTime': 1633015140, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 20430, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 41316, 'fiscalDriveNumber': '9288000100190797', 'fiscalSign': 4033425107, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'Напиток Black Monster The Doctor энергетич.0.449 ж/б', 'nds': 1, 'ndsSum': 1633, 'paymentType': 4, 'price': 9800, 'productType': 1, 'quantity': 1, 'sum': 9800}, {'name': 'Печ.Иркутск Венеция', 'nds': 2, 'ndsSum': 966, 'paymentType': 4, 'price': 30200, 'productType': 1, 'quantity': 0.352, 'sum': 10630}], 'kktRegId': '0004835818031964    ', 'nds10': 966, 'nds18': 1633, 'operationType': 1, 'operator': 'кассир Климов Дмитрий Васильевич', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 112, 'retailPlace': 'Супермаркет ТЦ', 'retailPlaceAddress': 'г. Новосибирск, ул. Ильича, д.6', 'shiftNumber': 314, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 20430, 'user': 'ООО ""ТЦ""', 'userInn': '5407973235  '}}}, 'organization': {'name': 'ООО ""ТЦ""', 'inn': '5407973235'}, 'seller': {'name': 'ООО ""ТЦ""', 'inn': '5407973235'}}",t=20210930T181900&s=204.30&fn=9288000100190797&i=41316&fp=4033425107&n=1,t=20210930T181900&s=204.30&fn=9288000100190797&i=41316&fp=4033425107&n=1,,
,Печ.Иркутск Венеция,302,"0,352","106,3","204,3",2021-09-30 18:19,Супермаркет ТЦ,"г. Новосибирск, ул. Ильича, д.6","ООО ""ТЦ""",5407973235,"ООО ""ТЦ""",5407973235,,,t=20210930T181900&s=204.30&fn=9288000100190797&i=41316&fp=4033425107&n=1,,
,Чайный нап.Сибирский кедр Саган-дайля зел.Лес.ягоды 50г пак.,233,1,233,394,2021-09-30 18:18,Супермаркет ТЦ,"г. Новосибирск, ул. Ильича, д.6","ООО ""ТЦ""",5407973235,"ООО ""ТЦ""",5407973235,"{'status': 2, 'id': '615975d59a3b7a373a5a1c9f', 'kind': 'kkt', 'createdAt': '2021-10-03T12:20:21+03:00', 'statusDescription': {}, 'qr': 't=20210930T1818&s=394.00&fn=9288000100190797&i=41315&fp=1828534263&n=1', 'operation': {'date': '2021-09-30T18:18', 'type': 1, 'sum': 39400}, 'process': [{'time': '2021-10-03T09:20:21+00:00', 'result': 21}, {'time': '2021-10-03T09:20:21+00:00', 'result': 2}], 'query': {'operationType': 1, 'sum': 39400, 'documentId': 41315, 'fsId': '9288000100190797', 'fiscalSign': '1828534263', 'date': '2021-09-30T18:18'}, 'ticket': {'document': {'receipt': {'dateTime': 1633015080, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 39400, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 41315, 'fiscalDriveNumber': '9288000100190797', 'fiscalSign': 1828534263, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'Чайный нап.Сибирский кедр Саган-дайля зел.Лес.ягоды 50г пак.', 'nds': 1, 'ndsSum': 3883, 'paymentType': 4, 'price': 23300, 'productType': 1, 'quantity': 1, 'sum': 23300}, {'name': 'Конфеты Ferrero Raffaello 80г осень', 'nds': 1, 'ndsSum': 2683, 'paymentType': 4, 'price': 16100, 'productType': 1, 'quantity': 1, 'sum': 16100}], 'kktRegId': '0004835818031964    ', 'nds18': 6566, 'operationType': 1, 'operator': 'кассир Климов Дмитрий Васильевич', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 111, 'retailPlace': 'Супермаркет ТЦ', 'retailPlaceAddress': 'г. Новосибирск, ул. Ильича, д.6', 'shiftNumber': 314, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 39400, 'user': 'ООО ""ТЦ""', 'userInn': '5407973235  '}}}, 'organization': {'name': 'ООО ""ТЦ""', 'inn': '5407973235'}, 'seller': {'name': 'ООО ""ТЦ""', 'inn': '5407973235'}}",t=20210930T181800&s=394.00&fn=9288000100190797&i=41315&fp=1828534263&n=1,t=20210930T181800&s=394.00&fn=9288000100190797&i=41315&fp=1828534263&n=1,,
,Конфеты Ferrero Raffaello 80г осень,161,1,161,394,2021-09-30 18:18,Супермаркет ТЦ,"г. Новосибирск, ул. Ильича, д.6","ООО ""ТЦ""",5407973235,"ООО ""ТЦ""",5407973235,,,t=20210930T181800&s=394.00&fn=9288000100190797&i=41315&fp=1828534263&n=1,,
,Хлеб Восход Пшеничный нарез.320г,30,1,30,30,2021-09-30 18:19,Супермаркет ТЦ,"г. Новосибирск, ул. Ильича, д.6",ИП Геря А.В.,540823911368,ИП Геря А.В.,540823911368,"{'status': 2, 'id': '615975f69a3b7a373a5a1ca7', 'kind': 'kkt', 'createdAt': '2021-10-03T12:20:54+03:00', 'statusDescription': {}, 'qr': 't=20210930T1819&s=30.00&fn=9288000100162763&i=18076&fp=3921751239&n=1', 'operation': {'date': '2021-09-30T18:19', 'type': 1, 'sum': 3000}, 'process': [{'time': '2021-10-03T09:20:54+00:00', 'result': 21}], 'query': {'operationType': 1, 'sum': 3000, 'documentId': 18076, 'fsId': '9288000100162763', 'fiscalSign': '3921751239', 'date': '2021-09-30T18:19'}, 'ticket': {'document': {'receipt': {'dateTime': 1633015140, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 3000, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 18076, 'fiscalDriveNumber': '9288000100162763', 'fiscalSign': 3921751239, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'Хлеб Восход Пшеничный нарез.320г', 'paymentType': 4, 'price': 3000, 'productType': 1, 'quantity': 1, 'sum': 3000}], 'kktRegId': '0004835824062313    ', 'ndsNo': 3000, 'operationType': 1, 'operator': 'кассир Климов Дмитрий Васильевич', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 46, 'retailPlace': 'Супермаркет ТЦ', 'retailPlaceAddress': 'г. Новосибирск, ул. Ильича, д.6', 'shiftNumber': 313, 'taxationType': 32, 'appliedTaxationType': 32, 'totalSum': 3000, 'user': 'ИП Геря А.В.', 'userInn': '540823911368'}}}, 'organization': {'name': 'ИП Геря А.В.', 'inn': '540823911368'}, 'seller': {'name': 'ИП Геря А.В.', 'inn': '540823911368'}}",t=20210930T181900&s=30.00&fn=9288000100162763&i=18076&fp=3921751239&n=1,t=20210930T181900&s=30.00&fn=9288000100162763&i=18076&fp=3921751239&n=1,,
,БОНИСАН №24 КАПС.,395,1,395,395,2021-09-18 11:11,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,"{'status': 2, 'id': '61527faf6c74136650fe2907', 'kind': 'kkt', 'createdAt': '2021-10-03T19:05:06+03:00', 'statusDescription': {}, 'qr': 't=20210918T1111&s=395.00&fn=9280440301480695&i=8860&fp=2340877290&n=1', 'operation': {'date': '2021-09-18T11:11', 'type': 1, 'sum': 39500}, 'process': [{'time': '2021-09-28T02:36:31+00:00', 'result': 30}, {'time': '2021-09-28T12:10:33+00:00', 'result': 2}], 'query': {'operationType': 1, 'sum': 39500, 'documentId': 8860, 'fsId': '9280440301480695', 'fiscalSign': '2340877290', 'date': '2021-09-18T11:11'}, 'ticket': {'document': {'receipt': {'dateTime': 1631952660, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 39500, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 8860, 'fiscalDriveNumber': '9280440301480695', 'fiscalSign': 2340877290, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'БОНИСАН №24 КАПС.', 'nds': 1, 'ndsSum': 0, 'paymentType': 4, 'price': 39500, 'productType': 1, 'quantity': 1, 'sum': 39500}], 'kktRegId': '0004067186040429    ', 'nds18': 6583, 'operationType': 1, 'operator': 'Фармацевт Бахтурова А.С.', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 22, 'retailPlace': 'Торговый зал', 'retailPlaceAddress': '630128, г. Новосибирск, ул. Кутателадзе, 4/4', 'shiftNumber': 69, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 39500, 'user': 'ООО ""Гранд Фарм""', 'userInn': '5402044889  '}}}, 'organization': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}, 'seller': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}}",t=20210918T111100&s=395.00&fn=9280440301480695&i=8860&fp=2340877290&n=1,t=20210918T111100&s=395.00&fn=9280440301480695&i=8860&fp=2340877290&n=1,,
,ЗОЛОТАЯ ПАСТИЛКА САХ. П/НЕПРИЯТ. ОЩУЩ. В ГОРЛЕ №12,299,1,299,299,2021-09-18 10:09,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,"{'status': 2, 'id': '6152800586fc9d87df37ba3a', 'kind': 'kkt', 'createdAt': '2021-10-03T19:05:10+03:00', 'statusDescription': {}, 'qr': 't=20210918T1009&s=299.00&fn=9280440301480695&i=8848&fp=1266144028&n=1', 'operation': {'date': '2021-09-18T10:09', 'type': 1, 'sum': 29900}, 'process': [{'time': '2021-09-28T02:37:59+00:00', 'result': 30}, {'time': '2021-09-28T12:11:55+00:00', 'result': 2}], 'query': {'operationType': 1, 'sum': 29900, 'documentId': 8848, 'fsId': '9280440301480695', 'fiscalSign': '1266144028', 'date': '2021-09-18T10:09'}, 'ticket': {'document': {'receipt': {'dateTime': 1631948940, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 29900, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 8848, 'fiscalDriveNumber': '9280440301480695', 'fiscalSign': 1266144028, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'ЗОЛОТАЯ ПАСТИЛКА САХ. П/НЕПРИЯТ. ОЩУЩ. В ГОРЛЕ №12', 'nds': 1, 'ndsSum': 0, 'paymentType': 4, 'price': 29900, 'productType': 1, 'quantity': 1, 'sum': 29900}], 'kktRegId': '0004067186040429    ', 'nds18': 4983, 'operationType': 1, 'operator': 'Фармацевт Бахтурова А.С.', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 10, 'retailPlace': 'Торговый зал', 'retailPlaceAddress': '630128, г. Новосибирск, ул. Кутателадзе, 4/4', 'shiftNumber': 69, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 29900, 'user': 'ООО ""Гранд Фарм""', 'userInn': '5402044889  '}}}, 'organization': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}, 'seller': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}}",t=20210918T100900&s=299.00&fn=9280440301480695&i=8848&fp=1266144028&n=1,t=20210918T100900&s=299.00&fn=9280440301480695&i=8848&fp=1266144028&n=1,,
,ЮНИДОКС СОЛЮТАБ 100МГ. №10 ТАБ.ДИСПЕРГ. /АСТЕЛЛАС/,307,1,307,307,2021-09-18 9:21,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,"{'status': 2, 'id': '615280136c74136650fe2918', 'kind': 'kkt', 'createdAt': '2021-10-03T19:05:18+03:00', 'statusDescription': {}, 'qr': 't=20210918T0921&s=307.00&fn=9280440301480695&i=8841&fp=465573492&n=1', 'operation': {'date': '2021-09-18T09:21', 'type': 1, 'sum': 30700}, 'process': [{'time': '2021-09-28T02:38:13+00:00', 'result': 30}, {'time': '2021-09-28T12:12:19+00:00', 'result': 2}], 'query': {'operationType': 1, 'sum': 30700, 'documentId': 8841, 'fsId': '9280440301480695', 'fiscalSign': '465573492', 'date': '2021-09-18T09:21'}, 'ticket': {'document': {'receipt': {'dateTime': 1631946060, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 30700, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 8841, 'fiscalDriveNumber': '9280440301480695', 'fiscalSign': 465573492, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'ЮНИДОКС СОЛЮТАБ 100МГ. №10 ТАБ.ДИСПЕРГ. /АСТЕЛЛАС/', 'nds': 2, 'ndsSum': 0, 'paymentType': 4, 'price': 30700, 'productType': 1, 'productCodeData': {'gtin': 4607098451699, 'rawProductCode': '444D0430AC7776F330343737343734323433353534', 'productIdType': 6, 'sernum': '0477474243554'}, 'quantity': 1, 'sum': 30700}], 'kktRegId': '0004067186040429    ', 'nds10': 2791, 'operationType': 1, 'operator': 'Фармацевт Бахтурова А.С.', 'prepaidSum': 0, 'properties': {'propertyName': 'mdlp', 'propertyValue': 'sid00000000239392&'}, 'provisionSum': 0, 'requestNumber': 3, 'retailPlace': 'Торговый зал', 'retailPlaceAddress': '630128, г. Новосибирск, ул. Кутателадзе, 4/4', 'shiftNumber': 69, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 30700, 'user': 'ООО ""Гранд Фарм""', 'userInn': '5402044889  '}}}, 'organization': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}, 'seller': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}}",t=20210918T092100&s=307.00&fn=9280440301480695&i=8841&fp=465573492&n=1,t=20210918T092100&s=307.00&fn=9280440301480695&i=8841&fp=465573492&n=1,,
,МЕТРОНИДАЗОЛ 250МГ. №24 ТАБ. /ОБНОВЛЕНИЕ/,83,1,83,83,2021-09-17 22:01,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,"{'status': 2, 'id': '6152806686fc9d87df37ba4c', 'kind': 'kkt', 'createdAt': '2021-10-03T19:05:36+03:00', 'statusDescription': {}, 'qr': 't=20210917T2201&s=83.00&fn=9280440301480695&i=8836&fp=892682287&n=1', 'operation': {'date': '2021-09-17T22:01', 'type': 1, 'sum': 8300}, 'process': [{'time': '2021-09-28T02:39:36+00:00', 'result': 30}, {'time': '2021-09-28T12:13:32+00:00', 'result': 2}], 'query': {'operationType': 1, 'sum': 8300, 'documentId': 8836, 'fsId': '9280440301480695', 'fiscalSign': '892682287', 'date': '2021-09-17T22:01'}, 'ticket': {'document': {'receipt': {'dateTime': 1631905260, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 8300, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 8836, 'fiscalDriveNumber': '9280440301480695', 'fiscalSign': 892682287, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'МЕТРОНИДАЗОЛ 250МГ. №24 ТАБ. /ОБНОВЛЕНИЕ/', 'nds': 2, 'ndsSum': 0, 'paymentType': 4, 'price': 8300, 'productType': 1, 'productCodeData': {'gtin': 4603988013688, 'rawProductCode': '444D042FF311F27831353931344C34354843313147', 'productIdType': 6, 'sernum': '15914L45HC11G'}, 'quantity': 1, 'sum': 8300}], 'kktRegId': '0004067186040429    ', 'nds10': 755, 'operationType': 1, 'operator': 'Фармацевт Бахтурова А.С.', 'prepaidSum': 0, 'properties': {'propertyName': 'mdlp', 'propertyValue': 'sid00000000239392&'}, 'provisionSum': 0, 'requestNumber': 129, 'retailPlace': 'Торговый зал', 'retailPlaceAddress': '630128, г. Новосибирск, ул. Кутателадзе, 4/4', 'shiftNumber': 68, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 8300, 'user': 'ООО ""Гранд Фарм""', 'userInn': '5402044889  '}}}, 'organization': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}, 'seller': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}}",t=20210917T220100&s=83.00&fn=9280440301480695&i=8836&fp=892682287&n=1,t=20210917T220100&s=83.00&fn=9280440301480695&i=8836&fp=892682287&n=1,,
,АСКОРИЛ ЭКСПЕКТОРАНТ 200МЛ. СИРОП,439,1,439,439,2021-09-17 21:48,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,"{'status': 2, 'id': '6152808aef3efbf0512c6b77', 'kind': 'kkt', 'createdAt': '2021-10-03T19:05:45+03:00', 'statusDescription': {}, 'qr': 't=20210917T2148&s=439.00&fn=9280440301480695&i=8833&fp=1474770349&n=1', 'operation': {'date': '2021-09-17T21:48', 'type': 1, 'sum': 43900}, 'process': [{'time': '2021-09-28T02:40:10+00:00', 'result': 30}, {'time': '2021-09-28T12:14:20+00:00', 'result': 2}], 'query': {'operationType': 1, 'sum': 43900, 'documentId': 8833, 'fsId': '9280440301480695', 'fiscalSign': '1474770349', 'date': '2021-09-17T21:48'}, 'ticket': {'document': {'receipt': {'dateTime': 1631904480, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 43900, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 8833, 'fiscalDriveNumber': '9280440301480695', 'fiscalSign': 1474770349, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'АСКОРИЛ ЭКСПЕКТОРАНТ 200МЛ. СИРОП', 'nds': 2, 'ndsSum': 0, 'paymentType': 4, 'price': 43900, 'productType': 1, 'productCodeData': {'gtin': 8904091116638, 'rawProductCode': '444D08192530245E563138485838464B4E4E525739', 'productIdType': 6, 'sernum': 'V18HX8FKNNRW9'}, 'quantity': 1, 'sum': 43900}], 'kktRegId': '0004067186040429    ', 'nds10': 3991, 'operationType': 1, 'operator': 'Фармацевт Бахтурова А.С.', 'prepaidSum': 0, 'properties': {'propertyName': 'mdlp', 'propertyValue': 'sid00000000239392&'}, 'provisionSum': 0, 'requestNumber': 126, 'retailPlace': 'Торговый зал', 'retailPlaceAddress': '630128, г. Новосибирск, ул. Кутателадзе, 4/4', 'shiftNumber': 68, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 43900, 'user': 'ООО ""Гранд Фарм""', 'userInn': '5402044889  '}}}, 'organization': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}, 'seller': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}}",t=20210917T214800&s=439.00&fn=9280440301480695&i=8833&fp=1474770349&n=1,t=20210917T214800&s=439.00&fn=9280440301480695&i=8833&fp=1474770349&n=1,,
